"","week","analytics","api","artificial intelligence","big data","clustering","data mining","data science","data scientist","data warehouse","deep learning","etl","excel","github","hadoop","iot","java","machine learning","matlab","minitab","modeling","python","R","regression","sql","statistician"
"162","2018-01-21",73,70,96,86,75,74,58,71,75,89,85,95,57,62,89,55,76,76,65,85,73,59,59,84,72
"163","2018-01-28",76,70,89,86,78,74,63,71,83,96,85,99,58,64,92,58,78,80,66,85,75,60,60,87,73
"164","2018-02-04",77,71,77,89,79,78,59,64,84,91,85,98,59,71,93,58,76,81,66,85,76,61,62,87,82
"165","2018-02-11",73,69,77,84,75,71,56,65,79,82,85,92,57,61,84,55,72,79,77,81,74,59,64,83,60
"166","2018-02-18",72,70,80,88,80,77,57,68,82,85,93,95,58,64,92,57,75,81,72,80,74,61,65,85,69
"167","2018-02-25",72,70,77,86,76,77,61,67,79,89,90,96,62,61,91,56,80,82,68,82,77,61,66,83,66
"168","2018-03-04",72,70,77,88,84,74,63,71,84,86,89,98,60,66,91,56,79,82,71,81,75,62,67,86,78
"169","2018-03-11",72,76,77,91,83,78,59,67,78,90,90,97,60,64,93,57,81,82,73,79,78,76,64,88,73
"170","2018-03-18",75,75,76,91,86,92,58,71,80,88,91,96,59,67,96,57,80,85,70,79,78,74,67,89,70
"171","2018-03-25",69,72,70,85,80,82,60,69,75,91,81,87,58,64,86,54,79,80,69,77,77,65,66,80,75
"172","2018-04-01",71,71,72,81,86,85,60,70,76,91,84,91,57,63,89,54,79,82,71,79,73,60,66,81,67
"173","2018-04-08",76,74,78,89,91,87,60,71,84,94,88,97,61,67,93,56,79,88,78,80,78,59,71,86,68
"174","2018-04-15",73,74,78,90,92,83,61,68,87,90,84,97,61,63,93,57,77,88,78,80,78,65,75,90,65
"175","2018-04-22",71,72,76,85,91,82,58,66,90,96,88,93,59,62,92,56,79,86,79,78,77,60,76,87,64
"176","2018-04-29",71,68,73,78,87,84,64,69,84,83,77,83,55,58,78,49,74,79,64,74,70,58,74,74,65
"177","2018-05-06",75,72,81,81,85,72,55,65,88,93,84,91,57,65,94,54,81,77,68,76,74,57,69,83,68
"178","2018-05-13",74,71,76,80,86,73,59,73,87,97,88,94,59,60,94,53,77,75,68,73,75,55,64,87,59
